date,tweet_sentiment,sentiment_weighted,tweets,attention
7/20/2016,0,0,12,4
7/21/2016,-0.041666667,-0.041666667,12,1
7/22/2016,0.028521825,0.026537698,28,10
7/23/2016,0,0,1,1
7/24/2016,,,0,0
7/25/2016,0.059722222,0.059722222,10,1
7/26/2016,-0.014209055,-0.019417388,8,2
7/27/2016,0.03125,0.03125,8,0
7/28/2016,0,0,6,1
7/29/2016,0.025,0.025,4,0
7/30/2016,0,0,2,0
7/31/2016,,,0,0
8/1/2016,0.0625,0.0625,8,1
8/2/2016,0.007575758,0.007575758,9,2
8/3/2016,0.031818182,0.063636364,11,3
8/4/2016,0.032738095,0.032738095,8,18
8/5/2016,-0.025925926,-0.025925926,6,0
8/6/2016,0,0,1,0
8/7/2016,0.085227273,0.085227273,3,0
8/8/2016,0.03172619,0.03172619,7,2
8/9/2016,0.008522727,0.008522727,16,2
8/10/2016,0.017777778,0.017777778,5,1
8/11/2016,0.205555556,1.122222222,9,37
8/12/2016,-0.01917517,-0.01917517,14,1
8/13/2016,0.033333333,0.033333333,2,0
8/14/2016,,,0,0
8/15/2016,-0.013888889,-0.013888889,6,1
8/16/2016,0.033333333,0.023333333,10,2
8/17/2016,0,0,5,1
8/18/2016,0.125,0.375,4,4
8/19/2016,0,0,3,0
8/20/2016,0,0,1,0
8/21/2016,0.011279461,0.011279461,9,0
8/22/2016,0.021904762,0.021904762,7,38
8/23/2016,-0.001428571,-0.001428571,14,1
8/24/2016,-0.05952381,-0.095238095,7,2
8/25/2016,-0.033333333,-0.033333333,3,0
8/26/2016,0.060714286,0.060714286,14,1
8/27/2016,0,0,1,0
8/28/2016,-0.010416667,-0.010416667,9,2
8/29/2016,0.017045455,0.034090909,4,1
8/30/2016,0,0,4,8
8/31/2016,0.020238095,0.020238095,14,2
9/1/2016,0.086783217,0.086783217,13,1
9/2/2016,0.015625,0.046875,8,2
9/3/2016,0,0,2,0
9/4/2016,0.28,0.36,2,1
9/5/2016,0,0,5,0
9/6/2016,0.0225,0.0225,5,4
9/7/2016,0.005555556,0.016666667,9,2
9/8/2016,0.001388889,0.043055556,12,11
9/9/2016,0.041071429,0.041071429,14,5
9/10/2016,0,0,2,1
9/11/2016,,,0,0
9/12/2016,0.064285714,0.064285714,7,6
9/13/2016,0.033636364,0.088181818,11,3
9/14/2016,0.019023569,0.041750842,6,8
9/15/2016,0.088888889,0.177777778,3,2
9/16/2016,0.166666667,0.333333333,3,1
9/17/2016,-0.0625,-0.0625,4,0
